inventory_id,film_id,title,rental_duration,rental_rate,length,replacement_cost,rating,category,language,store_id,rental_id,rental_date,return_date,payment_id,amount,customer_id,first_name,last_name,active
3419,749,Rules Human,6,4.99,153,19.99,R,Horror,English             ,1,1520,15-06-2005 23:57,24-06-2005 23:46,17503,7.99,341,Peter,Menard,1
2512,552,Majestic Floats,5,0.99,130,15.99,PG,Documentary,English             ,2,1778,16-06-2005 18:54,22-06-2005 16:08,17504,1.99,341,Peter,Menard,1
2507,551,Maiden Home,3,4.99,138,9.99,PG,New,English             ,1,1849,17-06-2005 00:13,23-06-2005 18:37,17505,7.99,341,Peter,Menard,1
2047,445,Hyde Doctor,5,2.99,100,11.99,G,Classics,English             ,1,2829,19-06-2005 21:11,24-06-2005 18:10,17506,2.99,341,Peter,Menard,1
2569,563,Massacre Usual,6,4.99,165,16.99,R,Games,English             ,1,3130,20-06-2005 19:03,29-06-2005 18:05,17507,7.99,341,Peter,Menard,1
131,26,Annie Identity,3,0.99,86,15.99,G,Sci-Fi,English             ,1,3382,21-06-2005 14:05,29-06-2005 19:13,17508,5.99,341,Peter,Menard,1
4398,961,Wash Heavenly,7,4.99,161,22.99,R,Foreign,English             ,2,2190,18-06-2005 01:29,26-06-2005 04:31,17509,5.99,342,Harold,Martino,1
2419,527,Lola Agent,4,4.99,85,24.99,PG,Horror,English             ,2,2914,20-06-2005 03:43,25-06-2005 03:44,17510,5.99,342,Harold,Martino,1
2071,449,Identity Lover,4,2.99,119,12.99,PG-13,Sci-Fi,English             ,2,3081,20-06-2005 15:29,24-06-2005 21:00,17511,2.99,342,Harold,Martino,1
2909,639,Opposite Necklace,7,4.99,92,9.99,PG,Family,English             ,2,1547,16-06-2005 01:42,19-06-2005 01:13,17512,4.99,343,Douglas,Graf,1
145,30,Anything Savannah,4,2.99,82,27.99,R,Horror,English             ,1,1564,16-06-2005 02:47,24-06-2005 03:12,17513,6.99,343,Douglas,Graf,1
3983,868,Superfly Trip,5,0.99,114,27.99,PG,Travel,English             ,1,1879,17-06-2005 02:57,19-06-2005 00:00,17514,0.99,343,Douglas,Graf,1
2484,545,Madness Attacks,4,0.99,178,14.99,PG-13,Foreign,English             ,1,1922,17-06-2005 06:04,18-06-2005 09:15,17515,0.99,343,Douglas,Graf,1
78,16,Alley Evolution,6,2.99,180,23.99,NC-17,Foreign,English             ,1,2461,18-06-2005 19:58,28-06-2005 01:35,17516,6.99,343,Douglas,Graf,1
310,69,Beverly Outlaw,3,2.99,85,21.99,R,Sci-Fi,English             ,2,2980,20-06-2005 08:35,29-06-2005 07:57,17517,8.99,343,Douglas,Graf,1
3919,855,Streak Ridgemont,7,0.99,132,28.99,PG-13,Documentary,English             ,2,3407,21-06-2005 16:14,24-06-2005 15:38,17518,0.99,343,Douglas,Graf,1
3363,738,Rocketeer Mother,3,0.99,178,27.99,PG-13,Foreign,English             ,1,1341,15-06-2005 12:26,21-06-2005 07:26,17519,3.99,344,Henry,Billingsley,1
