,title,rental_duration,rental_rate,length,replacement_cost,rating,category,amount,active,rental_month,rental_day,rental_hour,return_month,return_day,return_hour,rental_duration_days,customer_name
0,Rules Human,6,4.99,153,19.99,R,Horror,7.99,1,6,15,23,6,24,23,8,Peter Menard
1,Majestic Floats,5,0.99,130,15.99,PG,Documentary,1.99,1,6,16,18,6,22,16,5,Peter Menard
2,Maiden Home,3,4.99,138,9.99,PG,New,7.99,1,6,17,0,6,23,18,6,Peter Menard
3,Hyde Doctor,5,2.99,100,11.99,G,Classics,2.99,1,6,19,21,6,24,18,4,Peter Menard
4,Massacre Usual,6,4.99,165,16.99,R,Games,7.99,1,6,20,19,6,29,18,8,Peter Menard
5,Annie Identity,3,0.99,86,15.99,G,Sci-Fi,5.99,1,6,21,14,6,29,19,8,Peter Menard
6,Wash Heavenly,7,4.99,161,22.99,R,Foreign,5.99,1,6,18,1,6,26,4,8,Harold Martino
7,Lola Agent,4,4.99,85,24.99,PG,Horror,5.99,1,6,20,3,6,25,3,5,Harold Martino
8,Identity Lover,4,2.99,119,12.99,PG-13,Sci-Fi,2.99,1,6,20,15,6,24,21,4,Harold Martino
9,Opposite Necklace,7,4.99,92,9.99,PG,Family,4.99,1,6,16,1,6,19,1,2,Douglas Graf
10,Anything Savannah,4,2.99,82,27.99,R,Horror,6.99,1,6,16,2,6,24,3,8,Douglas Graf
11,Superfly Trip,5,0.99,114,27.99,PG,Travel,0.99,1,6,17,2,6,19,0,1,Douglas Graf
12,Madness Attacks,4,0.99,178,14.99,PG-13,Foreign,0.99,1,6,17,6,6,18,9,1,Douglas Graf
13,Alley Evolution,6,2.99,180,23.99,NC-17,Foreign,6.99,1,6,18,19,6,28,1,9,Douglas Graf
14,Beverly Outlaw,3,2.99,85,21.99,R,Sci-Fi,8.99,1,6,20,8,6,29,7,8,Douglas Graf
15,Streak Ridgemont,7,0.99,132,28.99,PG-13,Documentary,0.99,1,6,21,16,6,24,15,2,Douglas Graf
16,Rocketeer Mother,3,0.99,178,27.99,PG-13,Foreign,3.99,1,6,15,12,6,21,7,5,Henry Billingsley
17,Hanover Galaxy,5,4.99,47,21.99,NC-17,Music,4.99,1,6,15,21,6,18,22,3,Henry Billingsley
18,Slipper Fidelity,5,0.99,156,14.99,PG-13,Sports,0.99,1,6,16,15,6,19,18,3,Henry Billingsley
19,Academy Dinosaur,6,0.99,86,20.99,PG,Documentary,0.99,1,6,15,2,6,20,1,4,Carl Artis
20,Closer Bang,5,4.99,58,12.99,R,Comedy,4.99,1,6,15,20,6,19,15,3,Carl Artis
21,Hours Rage,4,0.99,122,14.99,NC-17,New,0.99,1,6,16,1,6,18,23,2,Carl Artis
22,Rules Human,6,4.99,153,19.99,R,Horror,4.99,1,6,19,17,6,23,20,4,Carl Artis
23,Jason Trap,5,2.99,130,9.99,NC-17,Family,5.99,1,6,17,11,6,25,8,7,Arthur Simpkins
24,Tramp Others,4,0.99,171,27.99,PG,Comedy,2.99,1,6,21,13,6,27,8,5,Arthur Simpkins
25,Strictly Scarface,3,2.99,144,24.99,PG-13,Comedy,2.99,1,6,21,17,6,24,18,3,Arthur Simpkins
